Stakeholder Name,Sector,Region,Social Media Business (0-18),Website Presence (0-12),Visual Content Quality (0-15),Online Discoverability (0-12),Digital Sales/Booking (0-8),Platform Integration (0-5),Digital Comfort & Skills (0-8),Content Strategy (0-8),Platform Usage Breadth (0-7),Investment Capacity (0-4),Challenge Severity (0-3),EXTERNAL TOTAL (0-70),SURVEY TOTAL (0-30),COMBINED SCORE (0-100),DIGITAL MATURITY LEVEL,SURVEY-EXTERNAL CORRELATION,SECTOR BONUS POINTS (0-7),Contact Info,Assessment Date,Notes,Follow-up Required,Social Media Justification,Website Functionality,Visual Content Quality,Online Discoverability,Digital Sales/Booking,Platform Integration,Website,Facebook,Instagram,Tripadvisor,YouTube
KAWSU TOURS,Tour Operator,,3,9,6,5,2,3,,,,,,28,,28,Emerging,,,,9/11/2025,"Kawsu Tours is a strong example of a small local operator embracing digital tools to compete. With help (from European partners in Netherlands), Kawsu has a proper website and leverages social media and chat apps to reach international clients. This is reflected in their slogan of being able to book from anywhere. They are still in the basic category overall because their online audience and feedback volume are growing but not large. Nonetheless, Kawsu Tours is arguably at the top end of “basic” and verging on intermediate, especially if they continue to gather reviews and refine their online booking process. Their approach – combining local guiding expertise with a global-facing digital presence – is a model that could elevate many Gambian tour businesses if adopted widely",,"Kawsu Tours maintains a Facebook page. . On this page they actively promote their website – for instance, they encourage tourists to “Visit our website for bookings: kawsutours.com”. They also communicate updates (like availability via Messenger/WhatsApp). However, beyond Facebook, there isn’t evidence of a strong presence on other social media (their Instagram handle appears to be referenced in search results, possibly @kawsutours, but it’s not widely known). Engagement on Facebook is modest. Thus, while they use social media as a funnel to their site, their overall social reach remains limited (one primary platform with a few hundred followers).","Kawsu Tours (also known as Kawsu Safari Tours) has a surprisingly sophisticated website for a small operator. The site (kawsutours.com) is available in multiple languages (Dutch, English) and is geared towards international clients. It showcases various tour packages (e.g. lazy day mangrove cruise, cultural experiences) and emphasizes Kawsu’s local guide expertise. The site appears to be developed with the help of European partners (the Dutch text and professional layout suggest this), and it even features online booking prompts (there are “Book now” buttons and mentions that you can book from anywhere in the world). During our assessment, the site had some downtime issues, but the content and design, from what is visible, are on par with much larger operators. We assign a high score, slightly reduced only because of minor accessibility issues we encountered.","Kawsu’s online content is a mix. The website likely contains high-quality images of tours (given its professional vibe, we expect they included wildlife or tour photos). The Facebook page includes some photos and videos – for example, they have shared pictures of recent trips and a video of a tour boat in the mangroves. Yet the volume of visual content is not huge. The TripAdvisor reviews mention experiences but we have also seen a negative comment about a poorly prepared boat trip, suggesting not all visuals shared by customers were flattering. On balance, we give a moderate score: Kawsu’s own marketing visuals are decent but they haven’t flooded the web with imagery like some competitors.","Kawsu Tours is partially discoverable online. They do have a TripAdvisor listing, and interestingly, it contains mixed feedback – one review snippet complains of a “very poor lazy day trip” while another recommends Kawsu as a reliable local guide near Kombo Beach Hotel. This indicates they are getting some reviews (good and bad), which is actually a sign of traction. Their website, being SEO-friendly, also helps; searching “Kawsu Tours Gambia” yields their site and Facebook on page one. We score discoverability in the mid range – they are visible, but not yet dominating in reviews or rankings.","Kawsu Tours strongly encourages online bookings via their website. While their site has “Book now” buttons, we did not confirm a full e-commerce checkout. It likely leads to a booking request form or chat, rather than instant payment. They also explicitly mention that tourists can “book from anywhere in the world” on their site, implying a step toward digital sales integration. However, unless they integrate a payment gateway, we classify it as a platform-based inquiry rather than true e-commerce. At present, payments are probably arranged offline (bank transfer or on arrival). So we score them at the basic inquiry stage, with acknowledgment that they are on the cusp of more (score could rise if their “Book now” becomes a true online payment system).","Kawsu Tours actively uses multiple platforms: They have the TripAdvisor listing (with management aware of feedback), a Facebook page, and a well-constructed independent website. They even utilize WhatsApp for live chat with customers. This multi-platform approach (site + FB + TA + messaging app) demonstrates good integration. However, they are not at the level of, say, appearing on Viator or having hundreds of Google reviews. We give them a solid above-basic score here for the breadth of their digital touchpoints and ease of contact for customers.",https://www.kawsutours.com/,https://www.facebook.com/p/Kawsu-Tours-100054413022826/,,https://www.tripadvisor.nl/Attraction_Review-g479201-d25240076-Reviews-Kawsu_Tours-Kotu_Banjul_Division.html,
SENEGAMBIA BIRDING,Tour Operator,,12,12,15,8,2,5,,,,,,54,,54,Intermediate,,,,9/11/2025,"Senegambia Birding stands out as a digital leader in the Gambian tour operator scene. They have carved out a niche (birding and eco-photography) and backed it up with a savvy online strategy – a polished website, active social media, integration of chat/apps, and engaging content. Their efforts place them in the Intermediate digital maturity class, significantly ahead of most others who remain basic. Importantly, this digital strength likely translates into business success: they attract a global clientele (birders from Europe, America, etc.) directly through online channels, something many traditional operators have struggled to do. Senegambia Birding’s case demonstrates how focusing on a niche and leveraging digital marketing can elevate an operator’s profile rapidly. They are local and small, yet “punching above their weight” online – essentially becoming an international player in their segment through digital outreach",,"Senegambia Birding maintains a multi-platform social presence aimed at birding enthusiasts. They have an active Instagram which showcases colorful bird photography and promotes their birding lodge, appealing to the birding community. They also run a Facebook page and engage with niche forums/groups. Given their international clientele, they use social media to share trip reports and photos (often stunning bird shots). Their Instagram description proudly notes “The best choice for your birding & photography tours in The Gambia” and the content backs that up. While their follower counts are not provided, the consistency and quality of posts suggest a professional approach (likely managed by a team that includes marketing expertise from Europe). They also integrate WhatsApp chat on their site for instant communication. With at least 3 active channels (IG, FB, WhatsApp) and regular, strategic content, Senegambia Birding achieves a multi-platform strategy rating.","Senegambia Birding has an outstanding website (senegambiabirding.com) that could rival those of specialized international tour companies. It is rich in content, featuring detailed itineraries, pricing in multiple currencies, and an integrated booking interface. The design is modern and dynamic, with slideshows and call-to-action buttons like “Book now” for each tour package. Impressively, the site shows real-time availability for certain date ranges and last-minute deals (e.g. specific arrival windows for “Easy Birding” offers). It also highlights their Belgambia Lodge and sustainable tourism ethos. Regular updates are evident – they mention tours for late 2025 and use current imagery (some image filenames even reference ChatGPT-assisted edits in 2025). All necessary information (FAQs, About Us, Press coverage) is there, and the site is likely helping convert visitors into bookings. This exemplary web presence earns full marks.","As a birding and photography tour specialist, Senegambia Birding’s visual content is exceptional. Their website and social media are filled with high-resolution images of West African birds, wildlife, and tour moments. They even advertise specific photo tours and mention that they cater to “wildlife photographers eager to experience the real Gambia”. The site’s galleries show vibrant bee-eaters, majestic landscapes, and candid shots of travelers in nature. They clearly invest in professional photography (the site design itself revolves around visuals). Additionally, guest photographers often join their tours, contributing to the trove of quality images. This level of consistent, high-quality visual storytelling earns a top score.","Senegambia Birding has quickly become highly visible and well-regarded online, especially within its niche. A search for birding in The Gambia will almost certainly bring them up. They actively collect reviews: on TripAdvisor, they are listed under “Senegambia Birdwatching and Wildlife Photography Tours” with detailed descriptions of their offerings. While the volume of reviews on TA is still growing (they are a newer entrant compared to decades-old general tour companies), they have garnered an excellent reputation on birding forums, blogs, and even press articles (their site’s Press section cites media coverage, indicating recognition). They also leverage SEO – e.g. their partnership name “Belgambia Tours Ltd” appeals to Belgian/Dutch markets, and their blog posts likely draw traffic. Given that mainstream travelers may not search for “birding tours” specifically, we temper the score slightly; however, in their target segment, they are arguably dominant.","Senegambia Birding encourages prospective clients to “Don’t just dream it – book it” and provides multiple ways to initiate booking (chat, WhatsApp, a booking form). Their site has “Book now” buttons for each tour, which lead to a structured inquiry/booking form. They may arrange payment of deposits via bank or an online invoice once contact is made. However, it appears they do not have a fully automated online payment checkout where you can pay and confirm instantly on the site – booking is confirmed through consultation (understandable, as they often customize itineraries). We therefore classify this as digital inquiry with personal follow-up (score 2). It’s quite possible they handle payments electronically (e.g. via PayPal or bank transfer), but since that is not an on-site e-commerce integration, we remain with a basic score in this category.","Senegambia Birding is very well integrated across platforms relevant to their market. They use Instagram and Facebook to engage the community, TripAdvisor to gather reviews, their own site’s chat and WhatsApp for direct communication – creating a seamless web of touchpoints. They are also registered with the Gambian Tourism Board and appear on lists of specialized operators. Additionally, they collaborate with international birding platforms (their site links to partner birding tour agencies and they have a presence on listings like Fatbirder, etc.). They exemplify “optimized across all relevant platforms” – a traveler can find them and interact through numerous channels, all consistently managed",https://www.senegambiabirding.com/,https://www.facebook.com/Senegambiabirding/,https://www.instagram.com/senegambiabirding,https://www.tripadvisor.com/Attraction_Review-g7923671-d24940429-Reviews-Senegambia_Birding-Mandinari_West_Coast_Division.html,
SAMBA’S TOURS,Tour Operator,,0,0,0,2,0,0,,,,,,2,,2,Absent,,,,9/11/2025,Extremely low digital presence,,No active business social accounts (only a barely used Facebook page),No official website or functioning web page found.,No evidence of quality visuals or promotional media online.,"Very hard to find online; apart from a brief mention in a travel article (noting it offers personalized itineraries), it has virtually no search visibility.",No way to inquire or book through digital channels (relies on in-person or phone contact).,Not listed on TripAdvisor or other travel/tourism platforms.,,,,,
SANTOSU TOURS,Tour Operator,,7,9,10,8,2,3,,,,,,39,,39,Emerging,,,,9/11/2025,"High digital readiness, with an excellent website and good social engagement",,Active on at least one platform – a Facebook page (multiple Facebook pages for different languages are linked) – with regular updates and engagement.,"Comprehensive, professional website with multilingual content and recent updates (features excursion info, guestbook reviews, blog posts, new 2024 videos, etc.). The site is well-maintained and showcases their services and licenses.","Good quality visuals – numerous photos of excursions and even videos. Content includes a photo gallery and YouTube videos of tours, indicating semi-professional level marketing visuals.","Very good search presence. The company is widely known in Gambia for its reputation, appears prominently on TripAdvisor and other listings. Likely has a Google Maps listing for its Kololi Strip office.","Inquiry-based online sales – offers a contact form/WhatsApp for booking inquiries on the website, but no direct online payment integration.",Listed on major travel platforms. Has a TripAdvisor “Attraction” page (with multiple positive reviews) and appears on local tourism directories. Active management of these listings (e.g. encouraging guest feedback) is eviden,https://gambiasantosudrivesexperiences.com/,https://www.facebook.com/groups/1722807087785023/,,https://www.tripadvisor.fr/Attraction_Review-g297575-d11488967-Reviews-Gambia_Santosu_Drives_Experiences-Kololi_Serekunda_Banjul_Division.html,
SIMON TOURS,Tour Operator,,7,9,10,5,2,3,,,,,,36,,36,Emerging,,,,9/11/2025,"Solid digital presence driven by a new website and personal engagement, though reliant on manual communication for bookings)",,"Active primarily on Facebook (the owner, Saidou “Simon” Jallow, engages via a Facebook page/profile – e.g. posting tour photos and updates through 2023). Also recently added Instagram (linked on his site) for broader reach. Engagement is modest but present.","A modern, professional website (recently launched) providing detailed tour information, FAQ, and online contact/WhatsApp link. The site is well-designed and kept fairly up-to-date (includes links to TripAdvisor reviews and Instagram).","Good visual quality. The website features attractive images of tours and the “real Gambia” experience, suggesting semi-professional photography. (His site highlights Simon as a local expert who takes guests off the beaten path, with photos supporting this personal touch.)","Fairly good online visibility. Simon Tours appears on the first page of search results (TripAdvisor, the official website, and travel forums). TripAdvisor reviews indicate a strong reputation (e.g. travelers praise Simon’s personalized excursions and note extensive email/WhatsApp communication before their trip). A Google Maps listing may not be present (as he operates via hotel pick-up), but direct name searches readily find him.",Basic digital inquiry system – customers typically book via email or WhatsApp (as evidenced by TripAdvisor reviewers coordinating tours with Simon in advance) and no online payment gateway.,"Listed and active on TripAdvisor. The company’s TripAdvisor page features a detailed description (“guided cultural and nature-focused excursions… led by a local expert”) and hosts numerous positive reviews, reflecting active management. Also listed on niche platforms (e.g. tour guide directories like TourHQ) and mentioned in travel forums",https://www.simon-tours.com/,https://www.facebook.com/simontoursgambia/,https://www.instagram.com/simontoursgambia/,https://www.tripadvisor.com/Attraction_Review-g479201-d3765480-Reviews-Simon_Tours-Kotu_Banjul_Division.html,
STAR TOURS (SAMBA INVESTMENT),Tour Operator,,0,0,0,2,2,1,,,,,,5,,5,Absent,,,,9/11/2025,Virtually no direct digital presence; known only via industry references,,,No dedicated website. Contact is only via phone/email; the company has no web page showcasing its services.,"No online visuals or galleries. (The business operates off-line, so any marketing materials are not on the web.)",Very limited online presence. It appears in a few industry listings – e.g. listed as “Samba Enterprise (Star Tours)” on the Tour Operators Association member roster – but a casual tourist would not easily find information about it on search engines.,Minimal – bookings are handled by phone or email (an email is provided in TTAG listings). No online booking system.,"Hardly any. The company is a member of the local Travel & Tourism Association, but not present on TripAdvisor or consumer-facing travel sites. (It primarily serves as a ground operator for tour groups, which suggests less need for public platform listings.)",,,,,
TIMO TOURS GAMBIA,Tour Operator,,7,9,10,5,2,3,,,,,,36,,36,Emerging,,,,9/11/2025,"Moderately strong digital presence, anchored by a good website and TripAdvisor profile, but with room to improve social engagement and online reputation management",,Active mainly on Facebook (e.g. “TimoTours Gambia Smile” page). Some content on other platforms: a promotional YouTube video exists and a WhatsApp contact is advertised. Social engagement appears occasional but present (customer feedback videos and posts are available).,"Professional and functional website with an online trip catalog and booking inquiry interface. The site is visually appealing and provides details for numerous tours (half-day to multi-day), although some template text is still present (indicating it’s relatively new). It appears updated within the last year with current tour offerings.","Good quality visuals on the site – multiple images for each tour and a gallery are provided. The company also shares tour photos on TripAdvisor (57 “candid photos” are associated with their listing) and via social media, suggesting a semi-professional approach to visuals.","Moderate visibility. Timo Tours’ website and TripAdvisor page appear on the first page of search results. The TripAdvisor listing has at least 12 traveler reviews (mix of positive and some negative feedback) indicating the company is on travelers’ radar. A Google Maps listing exists (their office in Serekunda is mentioned) and some Google reviews are present. Overall online reputation is developing, though one can find both praise and notable complaints on TripAdvisor.","Provides online inquiry forms/“Book a trip” requests, but no direct payment processing. Customers must finalize bookings via WhatsApp, email, or pay in person (typical for local operators).","Good integration with travel platforms. The business maintains a TripAdvisor presence (with management responses to reviews in some cases) and appears in local directories. It is not on global booking platforms like Viator, but it is leveraging TripAdvisor and social channels to reach customers",https://www.atimotours-gambiasmile.com/,https://www.facebook.com/p/Timotours-gambia-smile-100054647460342/,https://www.instagram.com/timotours_gambiasmile/,https://en.tripadvisor.com.hk/Attraction_Review-g480198-d20298076-Reviews-Timo_Tours_Gambia_Smile-Serekunda_Banjul_Division.html,
WEST AFRICAN TOURS,Tour Operator,,7,9,6,5,2,1,,,,,,30,,30,Emerging,,,,9/11/2025,"Despite industry prominence, their public-facing digital engagement is limited – an area for improvement as they work on a new site)",,"Present primarily on Facebook (the official West African Tours Ltd page ~1,000 likes). Content is updated occasionally – mainly to announce tours or respond to inquiries. Other platforms are minimal or absent (no active Instagram noted).","Currently in decent shape. Services listed, contact information, tours, and newsletter sign up.","Fair quality but sparse. West African Tours has decades of marketing experience, so offline they have brochures, and online one finds some images via their Facebook or older blog. However, no curated gallery on a website. Visuals that do appear (e.g. on Facebook) are generally amateur photographs from tours or promotional events.","Decent name recognition yields search results. They have been established since 1987, so many third-party sites mention them. Tourists researching “West African Tours Gambia” will find background info (e.g. founder names, history managing ~30,000 tourists/year, forum recommendations, etc.). However, the lack of an active official site or recent SEO hurts their discoverability slightly. They do not appear to have a dedicated TripAdvisor listing for day tours (being more a B2B ground handler), but are mentioned in forum posts and travel blogs as a leading operator.",Basic digital communication. Booking is handled via email or phone. No online payment or booking engine is in place.,"Minimal. They are not actively using consumer-facing platforms like TripAdvisor or Viator for bookings. (Their focus is on tour operators/agents partnerships.) Aside from an informational listing on Access Gambia and being a known name in industry networks, they lack presence on modern tour marketplaces.",https://westafricantoursinfo.com/,https://www.facebook.com/watoursgambia/,,"Discussion about WAY on forum, but couldn't find actual link",
OMI TOURS,Tour Operator,,12,9,10,8,2,5,,,,,,46,,46,Intermediate,,,,9/11/2025,"Strong digital presence for a local tour operator, with broad platform coverage and active engagement",,"Multi-platform. Omi Tours has an official Facebook page (though not updated since 2022), Instagram, a YouTube channel, and a LinkedIn profile. Their social posts highlight tour experiences and cultural insights, and the owner (Omar “Omi” Jabang) engages with an online community. This social presence suggests advanced management of their digital channels.","A well-designed WordPress website that is mobile-friendly and kept current. It introduces the owner (“I am Omar… tour guide in Gambia”) and clearly lists services (hotel bookings, transfers, custom tours, etc.). The site (omitours.com) appears recently updated (©2025) and provides an online contact form and WhatsApp link for inquiries.","High-quality visuals for a local outfit. The website and Instagram feature vibrant images of tours, wildlife, and cultural sites, reflecting at least semi-professional photography. Omi Tours also shares videos (YouTube content showcasing safaris and excursions). Overall, visual marketing is a strong point – consistent branding and appealing tour photos are used across platforms.","Very good. Omi Tours ranks well on search (their website and TripAdvisor page show up readily). They have a growing collection of online reviews: a TripAdvisor listing with a personal introduction by Omi, and a Google presence with ~24 customer ratings (aggregated 4.4★) according to a reviews widget. The owner actively encourages clients to leave feedback, bolstering their reputation.",Primarily inquiry-based. Clients can message via WhatsApp or email from the website. Payments are handled offline (no integrated e-commerce for direct booking).,"Excellent. Beyond social media, Omi Tours has made sure to appear on key travel platforms – TripAdvisor (with a detailed profile and reviews) and Google Maps – and even uses tools like TrustIndex to showcase reviews. They are effectively optimized across allrelevant platforms, using each to drive awareness and trust",https://www.omitours.com/,https://www.facebook.com/OmiToursGambia/,https://www.instagram.com/omitoursgambia/,https://www.tripadvisor.com/Attraction_Review-g479201-d23633865-Reviews-Omi_Tours_Gambia-Kotu_Banjul_Division.html,
FATOU TOURS,Tour Operator,,7,12,10,5,2,3,,,,,,39,,39,Emerging,,,,9/11/2025,"Very robust digital setup for a young company, especially in website and content quality; as it gains more reviews, its online score is likely to rise)",,"Active on Facebook and Instagram. Fatou Tours frequently shares birding trip highlights and travel tips on these platforms. The Instagram account (run in part by their European partner, e.g. Jacques Tassignon) showcases bird watching excursions and has attracted an audience of nature enthusiasts. Social activity is regular, though focused on their specific niche.","Excellent. A professionally built website (fatoutoursgambia.com) featuring multilingual content and a blog. It’s up-to-date – for example, a welcome post from June 2025 announces continuous updates on birding and nature sightings. The site provides detailed itineraries (half-day to 15-day tours), FAQs, and even a newsletter sign-up. It emphasizes the founders’ 40+ years of combined guiding experience and full licensing/insurance","High-quality visuals. Given their birding focus, the site and social media display excellent wildlife photography and tour images. Many photos are sharp and taken with good equipment (a critical draw for birdwatchers). The overall visual presentation is very professional for a small tour outfit.","Good and growing. Fatou Tours appears in search results via its website, TripAdvisor listing, and even third-party sites (e.g. a dedicated birding portal). As a relatively new operator, it has fewer reviews so far, but those online (TripAdvisor, Facebook) are positive and emphasize the specialized birding experience. With a physical base at Sarge’s Hotel in Senegambia, they are also findable to tourists on the ground. Continued content updates should further improve SEO over time.",Inquiry-based booking. The website directs customers to “Plan your trip now” via WhatsApp or email. No online payment system is integrated (common for bespoke tour planning).,"Moderate. Fatou Tours is active on TripAdvisor (with a listing in multiple languages and a growing number of reviews) and has a presence on niche platforms (e.g. birding tour directories). It’s not yet on larger booking marketplaces, but it leverages the platforms relevant to its niche (TripAdvisor, specialized travel blogs, etc.) effectively.",https://www.fatoutoursgambia.com/,https://www.facebook.com/p/Gambia-Birding-61554152675430/,https://www.instagram.com/fatou.toursgambia/,https://www.tripadvisor.co.uk/Attraction_Review-g293795-d23863120-Reviews-or10-Fatou_Tours_Gambia-Banjul_Banjul_Division.html,
AJI’S TOURS,Tour Operator,,7,6,3,5,2,3,,,,,,26,,26,Emerging,,,,9/11/2025,"Decent basic digital presence – a usable website and Facebook page – but with much room to grow in visuals, engagement and advanced features",,"On Facebook, but not updated since 2020. Aji’s Tours uses its Facebook page to provide updates and respond to inquiries (their page welcomes visitors and provides WhatsApp contact info). No significant Instagram or Twitter presence is noted, so Facebook is the main channel.","Functional informational website (ajitours.com). The site lists tours (e.g. “South Gambia 4x4 Safari”, “Lazy Day Boat Cruise” with descriptions and pricing in Euros)
 and provides contact details. It covers the basics well, though it’s somewhat basic in design and not recently expanded with new content (likely last overhauled around 2019). It serves its purpose as a brochure and booking contact point.","Limited. The website includes a few photos for each tour and a simple design. Images are mostly standard snapshots (e.g. of beaches, wildlife) with acceptable quality but not professionally produced. The Facebook page may have some tour albums, but overall visual marketing is on the modest side.","Fair. Aji’s Tours can be found via direct search – their website and TripAdvisor listing appear for name queries. They have attracted some reviews on TripAdvisor (including from Dutch travelers), generally recommending their services. They are also listed on at least one international tour directory (WhileInAfrica) with their contact info. However, beyond those actively looking for “Aji Tours Gambia,” their broader online visibility is limited.","Booking inquiries are handled via phone, WhatsApp, or email (all advertised on their Facebook/website). No online payment or real-time booking system is in use.","Present on relevant platforms. They maintain a TripAdvisor page (with a descriptive blurb proudly emphasizing they are a local ground operator) and they’ve listed themselves on a couple of travel directories. They may not be on global booking engines, but they do ensure visibility where budget travelers might look (social media, TA, and local networks).",,https://www.facebook.com/AjitoursGambia/,,https://www.tripadvisor.com/Attraction_Review-g479201-d18840939-Reviews-Aji_Tours_Gambia-Kotu_Banjul_Division.html,
LAMS TOURS,Tour Operator,,3,2,3,5,2,3,,,,,,18,,18,Absent,,,,9/11/2025,"Low-moderate digital presence. Lams Tours benefits from an early web footprint and customer reviews, but needs significant updates to re-establish a strong online profile",,"Minimal. Lams Tours has an Instagram presence announcing that they are “operating again” in The Gambia, including their contact number and website link in the bio. This suggests a restart of activity post-pandemic. Aside from this and possibly a dormant Facebook mention, there is little sustained social media engagement yet (the company historically relied more on word-of-mouth).","Dated and bare-bones. Lams Tours has a longstanding domain (lamstours.com, online since 2013) but no modernized content. The homepage tagline (“Want to see the real Gambia?...” etc.) and tour info exist in text, but the site lacks recent updates or secure connections. It essentially serves as a static brochure with tour descriptions and contact info, which may not have been updated in several years.","Sparse. The website’s content is mostly text; only a few low-resolution images were originally included. The company’s recent Instagram activity hints at some new photos (perhaps to show they’re back in business), but currently there is no comprehensive gallery of tour images or videos. Visuals are likely limited to what the owner or past tourists have shared informally.","Moderate for those searching by name. Lams Tours appears on TripAdvisor (as “Lams Tours – Day Tours,” with some traveler reviews recounting memorable excursions like Monkey Park visits). It’s also listed in a travel blog and on a tourism directory with exact location details in Kotu. These give it some search presence. Additionally, at least one Google review via a travel planner site praises Lams Tours, indicating a small positive reputation via word-of-mouth. Still, without active promotion, it’s not top-of-mind unless specifically looked up.",Relies on direct contact. Booking is done via phone or email (the directory listing provides a Gmail address and phone). No online booking system is available.,"Some integration. The business has a TripAdvisor listing where it has received reviews (likely managed at a basic level). It also appears in local “Things to Do” aggregators and map listings (an Evendo entry even gives map coordinates to their office). This indicates Lams Tours is at least minimally plugged into the tourism platforms, even if not actively optimizing those channels.",https://www.lamstours.com/,https://www.facebook.com/profile.php?id=61579964776281#,,https://www.tripadvisor.fr/Attraction_Review-g479201-d3750831-Reviews-Lams_Tours_Day_Tours-Kotu_Banjul_Division.html,
RM TOURS,Tour Operator,,12,0,6,8,2,3,,,,,,31,,31,Emerging,,,,9/11/2025,"A mixed approach – extremely active on social media and well-known in searches, but lacking a dedicated website or online booking, which keeps their digital score in the medium range",,Active and multi-faceted. R.M. Tours maintains a Facebook page (featuring historical and cultural excursion posts) and a very active Instagram account with hundreds of posts and updates from tours and client interactions. They also host a Facebook group where past clients share experiences (623 members). This strong social media strategy compensates for the lack of a traditional website.,"No official website. Despite having a custom email domain, R.M. Tours does not offer a public website with tour information. Their online information is instead provided via social pages and an Access Gambia directory entry. (Emails like Laminnjie@rmtours.com are used for contact, but going to “rmtours.com” yields no client-facing site.)","Good quantity of tour photos and videos on social platforms. Their Instagram and Facebook feeds are filled with snapshots of wildlife, cultural sites, and happy customers. The quality of visuals is generally that of good amateur photography – not polished marketing images, but authentic and engaging scenes from tours. These frequent posts indicate a consistent flow of visual content (which helps build trust), even if not professionally produced.","Strong, due to reputation and longevity. R.M. Tours is frequently mentioned as one of “the few officially registered” ground operators. It appears in travel guides and forums – for example, travelers often “find” R.M. Tours at hotels and then later praise them online (one TripAdvisor review called them “fully licensed and insured… the best tour operator” they found in Gambia). They have a TripAdvisor attraction page with a detailed description mirroring their Access Gambia blurb and presumably positive reviews. They are also referenced in international contexts (having a head office in Sweden and UK contacts, per Access Gambia). This multi-channel presence ensures that a Google search for “RM Tours Gambia” yields ample information, even without a website.",Booking is handled via direct communication. Clients can call local or international office numbers or email the company (multiple phone lines and an email are advertised). No online booking system or payment gateway is available – transactions are likely finalized in person or through bank transfers arranged offline.,"Good. R.M. Tours engages on platforms relevant to their audience: they manage a TripAdvisor listing (and likely respond to reviews there), and they utilize Google Maps (their office location near Kotu Strand is identified in coordinates on some sites). While not selling through third-party booking engines, they maintain visibility on social media and travel forums, which effectively drives customers their way.",,https://www.facebook.com/groups/127918387282946/,https://www.instagram.com/rmtoursgambialtd/,,
