Stakeholder Name,Sector,Region,Social Media Business (0-18),Website Presence (0-12),Visual Content Quality (0-15),Online Discoverability (0-12),Digital Sales/Booking (0-8),Platform Integration (0-5),Digital Comfort & Skills (0-8),Content Strategy (0-8),Platform Usage Breadth (0-7),Investment Capacity (0-4),Challenge Severity (0-3),EXTERNAL TOTAL (0-70),SURVEY TOTAL (0-30),COMBINED SCORE (0-100),DIGITAL MATURITY LEVEL,SURVEY-EXTERNAL CORRELATION,SECTOR BONUS POINTS (0-7),Contact Info,Assessment Date,Notes,Follow-up Required,Social Media Justification,Website Functionality,Visual Content Quality,Online Discoverability,Digital Sales/Booking,Platform Integration,Website,Facebook,Instagram,Tripadvisor,YouTube
Fort Bullen & Barra Museum,Cultural heritage sites/museums,North Bank Region,0,3,5,7,0,2,,,,,,17,,17,Absent,,,,9/11/2025,"TripAdvisor: Fort Bullen, Barra
 (~11 reviews, 4.4★).

NCAC site: Lists Fort Bullen & Barra Museum with entry fees.

Wikipedia: Fort Bullen
 (history, role in UNESCO cluster).

Google Maps: Fort Bullen location, visitor photos, ratings.",,No site-run social accounts; rare mentions via NCAC or by individual travelers.,"Listed on NCAC site (entry fees, brief info) and Wikipedia (historic background); no dedicated site.","Limited visitor-uploaded photos on TripAdvisor (fort walls, museum displays, cannons); no official gallery.","Present on TripAdvisor (reviews, 4.4★ avg, ~11 reviews), Google Maps, Wikipedia, and travel guides (AccessGambia).",Tickets only on-site; no online booking or e-commerce.,Cross-referenced within UNESCO cluster (James Island & related sites) and TripAdvisor/NCAC.,,,,https://www.tripadvisor.com/Attraction_Review-g3861892-d14135962-Reviews-Fort_Bullen-Barra_North_Bank_Division.html,
Kachikally Crocodile Pool & Museum,Cultural heritage sites/museums,Greater Banjul Area,7,0,12,11,0,3,,,,,,33,,33,Emerging,,,,9/11/2025,"Facebook: Kachikally Crocodile Pool
 (~3.8k likes).

Instagram: Location tag “Kachikally Crocodile Pool” with thousands of visitor posts.

TripAdvisor: Kachikally Crocodile Pool listing (hundreds of reviews, visitor photos).

AccessGambia: Detailed site info (sacred site, museum, nature trail).

Google Maps: Kachikally Crocodile Pool & Museum (photos, ratings, directions).",,"Active Facebook page (~3.8k likes, check-ins) with occasional updates; very strong Instagram location tag with thousands of visitor posts. No official IG/Twitter.",No official website; info hosted on directories (AccessGambia) and tourism portals.,"Extensive user-generated content: high-quality photos/videos of crocodiles, visitor interactions, and museum displays on IG/TripAdvisor.","Strong TripAdvisor (hundreds of reviews), Google Maps (photos/reviews), widely covered in blogs & tourism sites.",Entry paid on-site; no e-commerce or booking. Included in some tours but indirect.,"Presence across FB, TripAdvisor, IG, Google Maps. No official linking, but well cross-referenced by platforms.",,,,https://www.tripadvisor.com/Attraction_Review-g479198-d2462024-Reviews-Kachikally_Crocodile_Pool-Bakau_Banjul_Division.html,
Bakau Craft Market (Cape Point),Crafts and artisan products,Greater Banjul Area,0,0,3,7,0,2,,,,,,12,,12,Absent,,,,9/11/2025,"TripAdvisor: Bakau Craft Market
 (reviews + photos).

Google Maps: Bakau Craft Market, Cape Point with visitor ratings and photos.

Travel blogs: Occasional mentions of Cape Point market experiences.",,No official Facebook/Instagram presence; only visitor posts and mentions in travel guides.,No standalone website.,"Some visitor-uploaded photos on TripAdvisor and Google Maps show stalls and products, but not curated or professional.",Listed on TripAdvisor (as Bakau Craft Market with reviews/photos) and Google Maps; covered briefly in travel blogs.,No e-commerce or booking options.,"Presence on TripAdvisor + Google Maps = some platform coverage, but unmanaged.",,,,https://www.tripadvisor.com/Attraction_Review-g479198-d3874704-Reviews-Bakau_Craft_Market_Sand_Art_Shop-Bakau_Banjul_Division.html,
National Museum of The Gambia,Cultural heritage sites/museums,Greater Banjul Area,3,4,6,9,0,3,,,,,,25,,25,Emerging,,,,9/11/2025,"NCAC official site — entry fees & site list (National Museum: D100 foreigners, D30 locals).

TripAdvisor: National Museum (Banjul) — reviews, visitor photos.

Google Maps: National Museum, Banjul (~3.8★, 160+ reviews).

My Gambia article: overview & images of museum.

Wikipedia: National Museum of The Gambia (history, collections).",,"No museum-run accounts; occasional posts via NCAC Facebook & partners, plus traveler mentions.","Covered under NCAC website with entry fees and info; limited depth, no virtual tours.",Visitor photos on TripAdvisor/Google; some press & My Gambia articles with decent images. Limited curated visuals.,"Strong TripAdvisor (reviews, photos), Google Maps (160+ reviews), Wikipedia page, My Gambia feature.",Tickets only sold on-site; no online booking or shop.,"Appears in NCAC site, Google Maps, TripAdvisor, and tourism blogs. No proactive cross-linking.",,,,https://www.tripadvisor.fr/Attraction_Review-g293795-d12078429-Reviews-National_Museum-Banjul_Banjul_Division.html,
Janjanbureh Kankurang Festival,Festivals and cultural events,Central River Region,12,10,12,11,2,4,,,,,,51,,51,Intermediate,,,,9/11/2025,"Website: Destination Janjanbureh – Kankurang Festival (2026 dates) + 2025 recap. 

Facebook (official): @JJBKankurangFestivalJan2020 — lives, highlight videos, 2025/2026 announcements. 

Instagram (promo posts): 1 post

Gov/press: MOTC notice for Jan 2025; Voice Gambia recap of 8th edition (Jan 29, 2025). 


Travel/media listings: My Gambia event pages & articles; independent travel guide coverage. ",,Active Facebook page with 2023–2025 lives/highlights and 2026 promos; consistent event comms and video posts.,Dedicated festival pages on Destination Janjanbureh with 2026 dates and a 2025 recap; clear info architecture.,requent high-quality photos and videos on FB; external video features (YouTube) and media partners.,"Strong SERP coverage: official site, government/news posts, My Gambia listings, travel guides.","No official e-ticketing; some third-party trip sales/promos (e.g., My Gambia trips).","Website + FB/IG + partner listings (My Gambia, govt/press) show coherent cross-linking and updates.",https://www.destinationjanjanbureh.com/kankurangfestival,https://www.facebook.com/JJBKankurangFestivalJan2020,https://www.instagram.com/janjanbureh_kankurang_festival/,,
International Food & Beverage Festival,Festivals and cultural events,Greater Banjul Area,3,0,3,4,0,1,,,,,,11,,11,Absent,,,,9/11/2025,"Facebook: @gamfood
 — official festival page (sporadic posts, ~hundreds of followers).

Facebook videos: GoGambia coverage of 7th edition live (2019).

TripAdvisor forum discussion (2017 edition): Roll up, roll up for the Gambia Food and Beverage Festival.",,Exists on Facebook (@gamfood) with sporadic posts and some live video coverage (2017–2019). No current activity or cross-platform presence.,No official website or dedicated landing page; relies on social media and Tourism Board mentions.,"Some low–medium quality videos/photos on Facebook and Tourism Board coverage, but not consistently curated.","Appears in TripAdvisor forum (2017), some blog/travel mentions, but not widely indexed.",No online ticketing or booking system in place.,Only Facebook page; not integrated with broader tourism platforms or ticketing.,,https://www.facebook.com/gamfood/,,,
Open Mic Festival,Festivals and cultural events,Greater Banjul Area,3,0,4,4,0,1,,,,,,12,,12,Absent,,,,9/11/2025,"YouTube playlist: Open Mic Festival performances (2017–2018).

Facebook recap: AfricellGambia’s 2019 post highlighting Open Mic Festival.

News: Gambiana article on Open Mic Festival as Gambia’s biggest music event.

Update: Askanwi.com interview (2025) with founder Waagan explaining why the festival was shelved.",,"Once very active (Facebook, YouTube, AfricellGambia recaps), but no new updates since 2019; festival currently shelved.",No official festival website exists.,"Historic high-quality concert footage still on YouTube and FB, showing big crowds and artists, but not updated recently.","News articles and retrospectives available; festival history easy to find, but no current event listings.",No online ticketing (tickets were in-person when active).,"Some integration between livestreams and Facebook/YouTube in 2020, but now dormant.",,https://www.facebook.com/openmicfest,,,
Gambia International Bird Festival (Bird Watching Festival),Festivals and cultural events,Lower River Region,3,0,2,3,0,1,,,,,,9,,9,Absent,,,,9/11/2025,"BirdWatching Daily event listing (Oct 2016, Tendaba Camp).

WTM exhibitor news on Gambia Bird Festival launch.

Facebook event (2016) archived listing for Bird Festival at Tendaba.",,A single Facebook event (2016) and some mentions by Tourism Board; no ongoing SM accounts.,No official website or maintained event page.,Limited visuals in archived posts/news; mostly descriptive text about birdwatching.,"Some coverage on BirdWatching Daily and WTM exhibitor news, but little beyond 2016.",No online ticketing or registration.,"Mentions on tourism sites, but no cross-platform coordination.",,https://www.facebook.com/events/791975057570335/,,,
International Boat Fishing Competition,Festivals and cultural events,Greater Banjul Area,3,0,1,3,0,1,,,,,,8,,8,Absent,,,,9/11/2025,"Facebook event (2017 edition) by Gambia Tourism Board.

AllAfrica articles covering competition setup and winners (2014, 2015).

FishTheGambia partner site providing details for participants (2023 edition).",,Only evidence is a 2017 Facebook event hosted by the Tourism Board; no dedicated or recurring social channels.,No official website; information appears only in scattered news releases or partner pages.,Very limited imagery — mainly descriptive text in news and occasional participant photos; no curated galleries.,"Indexed by AllAfrica and some fishing-tour websites, but not easy to find for general audiences.",No online booking or ticketing system.,Mentioned by Tourism Board/news but not cross-linked or embedded into broader platforms.,,https://www.facebook.com/events/1486511848081391/1486511858081390/,,,
Banjul Cultural Festival & Carnival (“Banjul Demba” revival),Festivals and cultural events,Greater Banjul Area,3,4,8,9,0,3,,,,,,27,,27,Emerging,,,,9/11/2025,"Visit Gambia: Banjul Cultural Festival event listing
 (cultural description).

Facebook/Instagram: Gambia Tourism Board announcements (2024/2025 edition promos).

Press: The Voice & The Point articles covering festival program and significance.",,Announced and promoted on Gambia Tourism Board’s Facebook/Instagram; community posts show masquerades and parades; no standalone page.,"Listed on Visit Gambia official site with description, but no dedicated festival website.","Strong photos and short clips of Zimba, Egungun, and parades shared via press and FB; but content scattered.","Festival covered in The Voice and The Point news, listed on Visit Gambia, and in government press releases.","Free public celebration, no online booking or ticketing.","Information cross-shared between Visit Gambia, Tourism Board socials, and local press, but not centralized.",,https://www.facebook.com/events/533964859640669/,,,
Fulbe Africa International Cultural Festival,Festivals and cultural events,,3,2,10,8,0,3,,,,,,26,,26,Emerging,,,,9/11/2025,"Facebook: Fulbe Africa International Cultural Festival (event announcements, countdowns).

YouTube/TikTok: Promo videos and recaps shared (e.g., 5-day countdown for 9th edition).

Press: Gambian media coverage of 2025 press conference.",,"Active on Facebook, and YouTube/TikTok with consistent updates, countdowns, and press coverage → meets “multi-platform strategy.”",No standalone site; announcements hosted on partner/event media sites.,"High-quality images and videos of cultural performances, dignitaries, and promo videos; professional look.","Good coverage in local media (press conferences, event write-ups) and diaspora news sites.",No online ticketing; access mainly through venue.,"Socials cross-linked, event covered in press, sponsors tagged online.",,,,,https://www.youtube.com/@fulbeafrica5574
Sanyang International Cultural Festival,Festivals and cultural events,West Coast Region,3,0,7,6,0,2,,,,,,18,,18,Absent,,,,9/11/2025,"Facebook: Sanyang International Cultural Festival official page/event with schedule and announcements.

YouTube: Highlight reel of drumming, masquerades, and crowd from past festivals.

Tourism: Visit Gambia event listing; GiEPA annual events mention.",,"Formerly active on a single Facebook page/event, plus occasional IG mentions",No standalone website; relies on FB and community mentions.,Good quality photos and YouTube clips of masquerades and troupes; mostly user-generated.,Listed on Visit Gambia calendars and mentioned by GiEPA; some coverage in community blogs.,"No ticketing, open community event.","FB posts + some tourism listings, but not fully linked.",,https://www.facebook.com/profile.php?id=100071887983467,,,
Kartong Festival (Kartong Cultural Festival),Festivals and cultural events,West Coast Region,7,0,8,7,0,2,,,,,,24,,24,Emerging,,,,9/11/2025,"Facebook: Kartong Festival official page with event details (2024 edition dates, artist line-ups).

YouTube: Clips of dance competitions and highlights from past Kartong Festivals.

Festival Directories: Go Where When and backpacker/travel blogs listing the festival.",,Active on a single main Facebook page with event updates and artist announcements; some YouTube clips exist but not consistently managed.,No official website; relies on FB and listings on travel/festival directories.,Good quality photos and videos of cultural dances and cross-border events shared via FB and YouTube.,"Listed in international event directories (Go Where When), mentioned in travel blogs and cultural guides.",No online ticketing; open festival.,"FB presence + mentions in external directories, but no formal cross-linking.",,https://www.facebook.com/KartongFestival/,,,
Sukuta Dembadu Carnival & Festival,Festivals and cultural events,West Coast Region,7,0,7,6,0,2,,,,,,22,,22,Emerging,,,,9/11/2025,"Facebook: Dembadu Diaspora and Sukuta Community TV FB page — used to announce and livestream events.

Local News: The Standard coverage of inaugural carnival in 2018.

Livestream: Sukuta Community TV Station FB broadcasts of parades and cultural troupes.",,"Active on Facebook through community/diaspora pages (e.g., Dembadu Diaspora) and live streams via Sukuta Community TV; strong activity but mainly on one platform.",No dedicated festival website; announcements only on FB and diaspora channels.,"Colorful photos and FB Live streams of parades, masquerades, and concerts; community-generated but engaging.",Covered by local news (The Standard) and found on FB diaspora groups; limited outside sources.,No online booking; free attendance.,"FB + diaspora pages + occasional local news, but not cross-linked.",,https://www.facebook.com/sukutasanchaba,,,
Amsterdam–Plymouth–Banjul Rally,Festivals and cultural events,Greater Banjul Area,7,8,10,11,4,3,,,,,,43,,43,Intermediate,,,,9/11/2025,"Website: Dakar Challenge – Plymouth-Banjul Rally
 with full event details.

Facebook: Participant and Dakar Challenge groups with updates on rally progress.

Wikipedia: Plymouth-Banjul Challenge entry with full history and context.

Travel blogs/vlogs: Numerous participant blogs and YouTube channels with rally visuals.",,"Active international presence: Dakar Challenge website, Facebook groups, and participant blogs/vlogs. However, not a dedicated Gambian-managed festival page.","Dedicated Dakar Challenge website with clear info on rally, rules, and sign-up. Well-structured but international-facing.","Strong participant-generated visuals (blogs, YouTube, photos of decorated cars); no central Gambian media.","Wikipedia entry, Dakar Challenge site, numerous blogs/forums; highly searchable internationally.",Online registration through Dakar Challenge; not ticketed for public spectators.,"Rally integrates website, FB groups, blogs, but limited Gambian-side cross-linking.",https://dakarchallenge.co.uk/challenges/the-dakar-challenge/,https://www.facebook.com/DakarChallenge,https://www.instagram.com/the_dakar_challenge,,
Bureng (Koosee) Cultural Festival,Festivals and cultural events,Lower River Region,0,0,1,4,0,1,,,,,,6,,6,Absent,,,,9/11/2025,"Visit Gambia: description of Bureng Koosee festival (Mandinka harvest-related).

AllAfrica: feature describing Bureng Koosee as a Mandinka preservation festival.

GiEPA/NCAC brochures: festival listed among annual cultural events.",,No identifiable official or community-managed social media account for the festival; only mentioned in cultural listings.,No dedicated site; info comes only via Visit Gambia or cultural directories.,Almost no online visuals; festival described in text but few/no photos or videos.,"Listed in Visit Gambia, GiEPA brochures, and allAfrica cultural features; searchable but thin coverage.",No online ticketing.,"Appears in tourism directories, but not connected to socials or media.",,,,,
