Operator Name,Country / Region,Website URL,Gambia Page URL,Gambia Tour Pages,Visibility & Navigation,Product Type,Itinerary Depth - % Gambia,Itinerary Depth - Detail Level,Sun & Beach,Nature & Wildlife,Adventure,Culture & Heritage,Festivals & Cultural Events,Audiovisual (Film/Photo/TV/Video),Marketing/Advertising/Publishing,Crafts & Artisan Products,Fashion & Design,Music,Performing & Visual Arts,Heritage Sites & Museums,Positioning & Target Audience,Booking Pathway,Media Quality,Media - UGC/Testimonials,Media - TripAdvisor Integration,Price Transparency,Language Availability,Local Partnerships,Seasonality Framing,Last Scraped,Scrape Status
Love Holidays,,,https://www.loveholidays.com/holidays/gambia-holidays.html,,Unknown,Tailor-made,86%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Enquiry-only,Unknown,Yes,No,Unknown,en,"coco ocean, kairaba hotel, senegambia beach hotel, makasutu culture forest, baobab holiday resort, makasutu culture forest, makasutu, wassu stone circles, kunta kinteh island, tanji fishing village, bijilo forest park, bijilo forest, albert market, river gambia national park, kiang west national park, niumi national park, kololi beach, kotu beach, sanyang beach","winter_sun, year_round, dry_season",2025-09-30 08:54:25,Success
Luxotour,,,https://www.luxotour.com/en/africa/gambia,,Unknown,Flight+Hotel,57%,Multi-day overview,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,,Enquiry-only,Unknown,No,No,Unknown,"en, es, fr","makasutu, kiang west national park, sanyang beach",,2025-09-30 08:54:25,Success
Meier’s Weltreisen,,,https://www.meiers-weltreisen.de/reiseziele/afrika/gambia,,Unknown,Tailor-made,97%,Summary only,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,de,"kachikally crocodile pool, james island, arch 22, albert market, serrekunda market, tanbi wetland complex",,2025-09-30 08:54:25,Success
Naturetrek,,,https://www.naturetrek.co.uk/destinations/africa/gambia,,Unknown,Flight+Hotel,100%,Multi-day overview,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,"mandina lodges, makasutu",,2025-09-30 08:54:25,Success
Neckermann Reisen,,,https://neckermann.be/nl/vakanties/exotische-vakanties/gambia,,Unknown,Flight+Hotel,100%,N/A,No,No,No,No,No,No,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,nl,"bijilo forest park, bijilo forest",,2025-09-30 08:54:25,Success
Olympic Holidays,,,https://www.olympicholidays.com/destinations/the-gambia/,,Unknown,Flight+Hotel,67%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,Enquiry-only,Unknown,No,No,Unknown,"en, it","senegambia beach hotel, ocean bay hotel, sunset beach hotel, abuko nature reserve, makasutu, bijilo forest park, bijilo forest, lamin lodge, kololi beach, gambia experience, the gambia experience","winter_sun, year_round, rainy_season",2025-09-30 08:54:25,Success
On The Beach,,,https://www.onthebeach.co.uk/destinations/gambia,,Unknown,Tailor-made,67%,Summary only,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,,Enquiry-only,Unknown,No,No,Unknown,en,"ngala lodge, abuko nature reserve, makasutu, kunta kinteh island, tanji bird reserve, bijilo forest park, bijilo forest, arch 22, albert market, kololi beach, kotu beach","year_round, dry_season, cultural_events",2025-09-30 08:54:25,Success
Overlanding West Africa,,,https://www.overlandingwestafrica.com/trip-overview-availability/,,Unknown,Flight+Hotel,9%,N/A,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,,Enquiry-only,Unknown,No,No,Clear packages,en,,dry_season,2025-09-30 08:54:25,Success
Palace Travel,,,https://www.palacetravel.com/places/gambia/,,Unknown,Flight+Hotel,96%,N/A,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,en,"stone circles of senegambia, kunta kinteh island","dry_season, rainy_season",2025-09-30 08:54:25,Success
Responsible Travel,,,https://www.responsibletravel.com/holidays/gambia,,Unknown,Itinerary,75%,Summary only,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,,Enquiry-only,Unknown,Yes,No,From pricing,en,"abuko nature reserve, wassu stone circles, tanji bird reserve, national museum, albert market, bao bolong wetland reserve, kiang west national park, gambia tours","dry_season, rainy_season",2025-09-30 08:54:25,Success
Serenity Holidays,,,https://www.serenity.co.uk/destinations/gambia,,Unknown,Flight+Hotel,100%,Summary only,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,,Enquiry-only,Unknown,No,No,Unknown,en,"gambia experience, the gambia experience",year_round,2025-09-30 08:54:25,Success
Spector Travel Boston,,,https://www.spectortravel.com/roots-culture-tours/the-gambia/,,Unknown,Itinerary,100%,Summary only,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,gambia tours,,2025-09-30 08:54:25,Success
Spies (Globus Danmark),,,https://www.spies.dk/gambia,,Unknown,Flight+Hotel,98%,Summary only,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,,Enquiry-only,Unknown,No,No,Unknown,da,"albert market, kotu beach",,2025-09-30 08:54:25,Success
The Gambia Experience,,,https://www.gambia.co.uk/,,Unknown,Flight+Hotel,67%,Summary only,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,,Enquiry-only,Unknown,Yes,No,From pricing,en,"coco ocean, ngala lodge, mandina lodges, lemon creek, lemon creek hotel, kairaba hotel, kombo beach hotel, senegambia beach hotel, ocean bay hotel, leo's beach hotel, sunset beach hotel, bakotu hotel, fathala wildlife reserve, gambia bird","christmas_new_year, summer_holidays",2025-09-30 08:54:25,Success
Tjareborg,,,https://www.tjareborg.fi/gambia,,Unknown,Flight+Hotel,76%,N/A,No,No,No,No,No,Yes,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,Unknown,en,,,2025-09-30 08:54:25,Success
TransAfrica,,,https://transafrica.biz/en/travel/2025-the-african-west-coast-10-days-senegal-and-the-gambia/,,Unknown,Itinerary,20%,Day-by-day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Enquiry-only,Unknown,No,No,Unknown,"en, es, fr, it",,,2025-09-30 08:54:25,Success
Ving,,,https://www.ving.se/gambia/,,Unknown,Flight+Hotel,98%,Summary only,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,,Enquiry-only,Unknown,No,No,Unknown,en,albert market,,2025-09-30 08:54:25,Success
Wild Birding,,,https://wildbirding.tours/tour-item/wild-gambia-birding/,,Unknown,Mixed,88%,Day-by-day,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,,Enquiry-only,Unknown,No,No,Clear packages,en,"abuko nature reserve, gambia bird","year_round, birding_season",2025-09-30 08:54:25,Success
Wildlife Worldwide,,,https://www.wildlifeworldwide.com/discover/gambia,,Unknown,Flight+Hotel,67%,N/A,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,,Enquiry-only,Unknown,No,No,From pricing,en,kiang west national park,"dry_season, rainy_season",2025-09-30 08:54:25,Success
World Insight,,,https://www.world-insight.de/erlebnisreisen/senegal-und-gambia/,,Unknown,Flight+Hotel,43%,Multi-day overview,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,,Enquiry-only,Unknown,No,No,Unknown,de,"makasutu, james island, arch 22, albert market",,2025-09-30 08:54:25,Success
